id,availability,condition,description,image_link,link,title,price,sale_price,gtin,mpn,brand,google_product_category,item_group_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
BOX-3,"in stock",new,3雙入精緻禮盒（不含襪）,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/3BOX-1.jpg,https://www.footer.com.tw/product-detail/3BOX3BLUE?utm_source=FB_dynamic&utm_medium=adGeek,3雙入精緻禮盒（不含襪）,120,120,-,-,footer,精緻禮盒(不含襪)禮盒/提袋,3Box,精緻禮盒(不含襪),禮盒/提袋,,,
B01M-藍,"in stock",new,中職明星賽聯名船短襪,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/B01-1.jpg,https://www.footer.com.tw/product-detail/B01MBLUE?utm_source=FB_dynamic&utm_medium=adGeek,中職明星賽聯名船短襪,580,230,-,-,footer,全產品【聯名企劃】運動聯名,B01,全產品,【聯名企劃】,運動聯名,,
B16L-白,"in stock",new,【中職明星賽】明星隊膝下襪,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/%E6%98%8E%E6%98%9F-%E9%95%B7-L%283%29.jpg,https://www.footer.com.tw/product-detail/B16LLWHITE?utm_source=FB_dynamic&utm_medium=adGeek,【中職明星賽】明星隊膝下襪,580,320,-,-,footer,"全產品【新品＆活動企劃】L (24-27cm)",B16L,全產品,【新品＆活動企劃】,"L (24-27cm)",,
BOX-6,"in stock",new,6雙入精緻禮盒（不含襪）,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/box.jpg,https://www.footer.com.tw/product-detail/BOX6BLUE?utm_source=FB_dynamic&utm_medium=adGeek,6雙入精緻禮盒（不含襪）,200,200,-,-,footer,精緻禮盒(不含襪)禮盒/提袋,Box,精緻禮盒(不含襪),禮盒/提袋,,,
CH02M-湖水藍,"in stock",new,森呼吸女孩生理褲,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/CH02-%E6%B9%96%E6%B0%B4%E8%97%8D-1.jpg,https://www.footer.com.tw/product-detail/CH02MDARKBLUE?utm_source=FB_dynamic&utm_medium=adGeek,森呼吸女孩生理褲,480,215,-,-,footer,全產品【內著】森呼吸女孩生理褲,CH02,全產品,【內著】,森呼吸女孩生理褲,,
CH03M-湖水藍,"in stock",new,森呼吸女孩高腰內褲,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/CH03-%E6%B9%96%E6%B0%B4%E8%97%8D-1.jpg,https://www.footer.com.tw/product-detail/CH03MDARKBLUE?utm_source=FB_dynamic&utm_medium=adGeek,森呼吸女孩高腰內褲,480,215,-,-,footer,全產品【內著】森呼吸女孩內褲,CH03,全產品,【內著】,森呼吸女孩內褲,,
EF01S-黑,"in stock",new,純粹舒適四角內褲,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/EF02%282%29.jpg,https://www.footer.com.tw/product-detail/EF01SBLACK?utm_source=FB_dynamic&utm_medium=adGeek,純粹舒適四角內褲,480,300,-,-,footer,全產品【內著】男性舒適四角內褲,EF01,全產品,【內著】,男性舒適四角內褲,,
EF02M-黑,"in stock",new,純粹立體三角內褲3件裝,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/EF02-black-01-F.jpg,https://www.footer.com.tw/product-detail/ES01MBLACK?utm_source=FB_dynamic&utm_medium=adGeek,純粹立體三角內褲3件裝,890,600,-,-,footer,全產品【內著】男性三角內褲,ES01,全產品,【內著】,男性三角內褲,,
EF02M-藍,"in stock",new,純粹立體三角內褲3件裝,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/EF02-blue-01-F.jpg,https://www.footer.com.tw/product-detail/ES01MBLUE?utm_source=FB_dynamic&utm_medium=adGeek,純粹立體三角內褲3件裝,890,600,-,-,footer,全產品【內著】男性三角內褲,ES01,全產品,【內著】,男性三角內褲,,
EXST01-桃紅,"in stock",new,"寬版運動毛巾— 別再吃惹",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/EXST01-pink-F01.jpg,https://www.footer.com.tw/product-detail/EXST01FFUCHSIA?utm_source=FB_dynamic&utm_medium=adGeek,"寬版運動毛巾— 別再吃惹",420,286,-,-,footer,全產品【毛巾織品】運動毛巾全系列,EXST01,全產品,【毛巾織品】,運動毛巾全系列,,
