id,availability,condition,title,color,description,image_link,link,price,sale_price,brand,google_product_category,InventoryStatus,IsHot,sellstart,schedule
MT1M21468CL48333,in stock,new,顯瘦開岔兩穿式中長裙(挺版羅馬布),深灰,挺版羅馬布/前後兩穿式/假口袋裝飾造型/下襬開岔設計/附內裡,https://pic.pzcdn.tw/pazzo/ProductBasic/044881e8-0bec-4eab-b816-3760fccb19f0.jpg,https://www.pazzo.com.tw/market/n/21468?c=48333,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2024-05-09,20230918
MT1M21961CL49588,in stock,new,坑條造型連身褲襪,深灰,韓國直送/舒適坑條面料/腰圍鬆緊帶設計/連身褲襪,https://pic.pzcdn.tw/pazzo/ProductBasic/061cc44e-d670-4ad1-9fa8-4d5b6c31f17e.jpg,https://www.pazzo.com.tw/market/n/21961?c=49588,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-01-09,20240122
MT1M20082CL45035,in stock,new,MIT美圖顯瘦後開岔長裙(空氣棉),麻灰,台灣製造/自訂美圖布料/顯瘦版型/舒適彈性/無裡布/後中下擺開岔,https://pic.pzcdn.tw/pazzo/ProductBasic/09ea2533-6eb2-4710-a7ed-b6a6d84a649a.jpg,https://www.pazzo.com.tw/market/n/20082?c=45035,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2023-03-30,20220822
MT1M20418CL45843,in stock,new,質感北極絨坑條短裙,奶杏,舒適質料不刺膚/ 直紋坑條針織毛料/ 鬆緊腰節設計,https://pic.pzcdn.tw/pazzo/ProductBasic/124b3609-24ae-4121-91f3-c223f515e604.jpg,https://www.pazzo.com.tw/market/n/20418?c=45843,790.00 TWD,790.00 TWD,PAZZO,1604,Y,N,2022-12-26,20221226
MT1M21827CL49249,in stock,new,MIT舒適日常領口拼接造型圓領上衣,黑,台灣製造/PAZZO自訂開發布料/領口外包邊造型/日常長版上衣/可當內搭,https://pic.pzcdn.tw/pazzo/ProductBasic/16efb4bd-2152-4ee1-b45a-609d10f7ddaf.jpg,https://www.pazzo.com.tw/market/n/21827?c=49249,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-02-05,20240122
MT1M21995CL49684,in stock,new,細肩帶造型圓領針織背心,白,柔軟針織面料/不可調細肩帶/下襬微捲邊造型,https://pic.pzcdn.tw/pazzo/ProductBasic/198e45be-bf31-4c6e-8dd2-e4d624cef393.jpg,https://www.pazzo.com.tw/market/n/21995?c=49684,590.00 TWD,590.00 TWD,PAZZO,1604,Y,N,2024-03-25,20240325
MT1M22622CL51190,in stock,new,MIT涼感親膚美胸BRA TOP(佑妮聯名款),粉,台灣製造/ 舒適親膚涼感抗UV面料 /升級版牛奶絲/ 領口抽皺美胸設計/ 附可拆式上薄下厚胸墊/ 舒適彈性肩帶，肩帶可調式/ 後領美背設計/ 下胸圍內包鬆緊帶，安心美觀每批布皆有些微色差屬正常現象,https://pic.pzcdn.tw/pazzo/ProductBasic/1bd29c01-4603-4e21-978f-f9a822704fe0.jpg,https://www.pazzo.com.tw/market/n/22622?c=51190,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-08-18,20240818
MT1M21979CL49634,in stock,new,MIT雙肩帶美背平口BRA TOP(佑妮聯名款),黑,MIT台灣製造/ 布料彈性及包覆性佳/ 細致雙肩帶造型/ 附可拆上薄下厚一片式胸墊/ 美背弧形設計/,https://pic.pzcdn.tw/pazzo/ProductBasic/1d8f3638-30a5-4fec-94c2-f050c834e417.jpg,https://www.pazzo.com.tw/market/n/21979?c=49634,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-05-05,20240219
MT1M22420CL50754,in stock,new,圓領透肌網紗短袖上衣,黑藍,親膚網紗面料/ 可做疊穿造型,https://pic.pzcdn.tw/pazzo/ProductBasic/20d7b41c-f853-4d8d-a139-d6aca3a5dfd1.jpg,https://www.pazzo.com.tw/market/n/22420?c=50754,490.00 TWD,299.00 TWD,PAZZO,1604,N,N,2024-07-22,20240722
MT1M21979CL49633,in stock,new,MIT雙肩帶美背平口BRA TOP(佑妮聯名款),杏,MIT台灣製造/ 布料彈性及包覆性佳/ 細致雙肩帶造型/ 附可拆上薄下厚一片式胸墊/ 美背弧形設計/,https://pic.pzcdn.tw/pazzo/ProductBasic/21babd6a-3bbe-449f-b0eb-769d4794d3a3.jpg,https://www.pazzo.com.tw/market/n/21979?c=49633,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-05-05,20240219
