id,availability,condition,description,image_link,link,title,price,sale_price,brand,google_product_category,item_group_id
+002L-藍,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/002L-blue-01F.jpg,https://www.footer.com.tw/product-detail/002LLBLUE,羅嘉翎聯名襪－藍白紅款,"480 TWD","230 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】",002L
+002L-白,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/002L-white-01F.jpg,https://www.footer.com.tw/product-detail/002LLWHITE,羅嘉翎聯名襪－藍白紅款,"480 TWD","230 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】",002L
+002M-藍,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/002M-blue-01F.jpg,https://www.footer.com.tw/product-detail/002MMBLUE,羅嘉翎聯名襪－藍白紅款,"480 TWD","230 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】",002M
+002M-白,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/002M-white-01F.jpg,https://www.footer.com.tw/product-detail/002MMWHITE,羅嘉翎聯名襪－藍白紅款,"480 TWD","230 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】",002M
+002XL-藍,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/002XL-blue-01F.jpg,https://www.footer.com.tw/product-detail/002XLXLBLUE,羅嘉翎聯名襪－藍白紅款,"480 TWD","230 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】",002XL
+002XL-白,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/002XL-white-01F.jpg,https://www.footer.com.tw/product-detail/002XLXLWHITE,羅嘉翎聯名襪－藍白紅款,"480 TWD","230 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】",002XL
BOX-3,"in stock",new,3雙入精緻禮盒（不含襪）,https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/3BOX-1.jpg,https://www.footer.com.tw/product-detail/3BOX3BLUE,3雙入精緻禮盒（不含襪）,"120 TWD","120 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","精緻禮盒(不含襪),禮盒/提袋",3Box
B01M-藍,"in stock",new,"| 30度標準洗程| 不可漂白| 不可烘乾| 陰涼處懸掛晾乾| 不可熨燙| 不可乾洗洗滌建議：1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/B01-1.jpg,https://www.footer.com.tw/product-detail/B01MBLUE,中職明星賽聯名船短襪,"580 TWD","230 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【聯名企劃】,運動聯名",B01
B16L-白,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/%E6%98%8E%E6%98%9F-%E9%95%B7-L%283%29.jpg,https://www.footer.com.tw/product-detail/B16LLWHITE,【中職明星賽】明星隊膝下襪,"580 TWD","320 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】,L (24-27cm)",B16L
B17L-黑,"in stock",new,"| 30度標準洗程
| 不可漂白
| 不可烘乾
| 陰涼處懸掛晾乾
| 不可熨燙
| 不可乾洗

洗滌建議：
1. 建議將襪子翻至反面，裝入洗衣袋後，再放入洗衣機。
2. 請勿使用柔軟精、漂白水、含增艷、茶樹精油之洗劑洗滌或浸泡。",https://cdn-footer.fonlego.com/upload_files/fonlego-rwd/prodpic/%E6%9C%AA%E5%91%BD%E5%90%8D-2-35%281%29.jpg,https://www.footer.com.tw/product-detail/B17LLBLACK,【中職明星賽】明星隊聯名膝下襪,"580 TWD","320 TWD","FOOTER 除臭襪｜機能性纖維產品-台灣官方網站","全產品,【新品＆活動企劃】,NEW – 2024中職明星賽聯名襪",B17L
